"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|PL","Without Sequence","36.13","",""
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|PL","Without Sequence","36.27","",""
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|PL","Without Sequence","37.81","",""
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|PL","Without Sequence","37.87","",""
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|PL","Without Sequence","50.78","",""
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|PL","Without Sequence","42.32","",""
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|PL","Without Sequence","47.64","",""
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|PL","Without Sequence","53.40","",""
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|PL","Without Sequence","53.40","",""
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|PL","Without Sequence","54.36","",""
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|PL","Without Sequence","54.74","",""
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|PL","Without Sequence","56.24","",""
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|PL","Without Sequence","53.44","",""
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|PL","Without Sequence","53.44","",""
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|PL","Without Sequence","58.86","",""
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|PL","Without Sequence","55.61","",""
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|PL","Without Sequence","54.35","",""
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|PL","Without Sequence","54.35","",""
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|PL","Without Sequence","45.84","",""
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|PL","Without Sequence","43.79","",""
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|PL","Without Sequence","48.28","",""
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|PL","Without Sequence","36.71","",""
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|PL","Without Sequence","39.08","",""
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|PL","Without Sequence","33.01","",""
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|PL","Without Sequence","32.98","",""
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|PL","Without Sequence","32.25","",""
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|PL","Without Sequence","33.09","",""
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|PL","Without Sequence","33.63","",""
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|PL","Without Sequence","48.35","",""
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|PL","Without Sequence","42.43","",""
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|PL","Without Sequence","41.70","",""
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|PL","Without Sequence","41.81","",""
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|PL","Without Sequence","41.68","",""
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|PL","Without Sequence","42.75","",""
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|PL","Without Sequence","42.78","",""
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|PL","Without Sequence","42.78","",""
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|PL","Without Sequence","42.76","",""
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|PL","Without Sequence","42.90","",""
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|PL","Without Sequence","53.32","",""
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|PL","Without Sequence","53.38","",""
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|PL","Without Sequence","53.30","",""
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|PL","Without Sequence","49.50","",""
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|PL","Without Sequence","43.36","",""
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|PL","Without Sequence","41.14","",""
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|PL","Without Sequence","43.69","",""
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|PL","Without Sequence","35.76","",""
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|PL","Without Sequence","36.96","",""
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|PL","Without Sequence","38.84","",""
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|PL","Without Sequence","37.08","",""
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|PL","Without Sequence","35.59","",""
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|PL","Without Sequence","33.25","",""
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|PL","Without Sequence","35.70","",""
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|PL","Without Sequence","50.72","",""
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|PL","Without Sequence","55.60","",""
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|PL","Without Sequence","60.75","",""
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|PL","Without Sequence","67.32","",""
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|PL","Without Sequence","65.70","",""
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|PL","Without Sequence","67.08","",""
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|PL","Without Sequence","66.94","",""
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|PL","Without Sequence","67.09","",""
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|PL","Without Sequence","65.71","",""
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|PL","Without Sequence","64.02","",""
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|PL","Without Sequence","60.36","",""
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|PL","Without Sequence","55.01","",""
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|PL","Without Sequence","51.81","",""
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|PL","Without Sequence","51.78","",""
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|PL","Without Sequence","42.57","",""
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|PL","Without Sequence","39.51","",""
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|PL","Without Sequence","39.64","",""
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|PL","Without Sequence","33.09","",""
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|PL","Without Sequence","36.57","",""
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|PL","Without Sequence","36.69","",""
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|PL","Without Sequence","34.78","",""
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|PL","Without Sequence","36.66","",""
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|PL","Without Sequence","36.85","",""
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|PL","Without Sequence","37.68","",""
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|PL","Without Sequence","50.85","",""
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|PL","Without Sequence","44.80","",""
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|PL","Without Sequence","47.40","",""
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|PL","Without Sequence","48.28","",""
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|PL","Without Sequence","44.82","",""
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|PL","Without Sequence","44.95","",""
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|PL","Without Sequence","44.89","",""
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|PL","Without Sequence","45.98","",""
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|PL","Without Sequence","43.79","",""
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|PL","Without Sequence","45.98","",""
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|PL","Without Sequence","54.29","",""
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|PL","Without Sequence","53.21","",""
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|PL","Without Sequence","47.04","",""
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|PL","Without Sequence","42.27","",""
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|PL","Without Sequence","44.76","",""
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|PL","Without Sequence","39.15","",""
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|PL","Without Sequence","44.30","",""
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|PL","Without Sequence","37.05","",""
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|PL","Without Sequence","37.01","",""
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|PL","Without Sequence","35.36","",""
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|PL","Without Sequence","32.01","",""
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|PL","Without Sequence","31.19","",""
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|PL","Without Sequence","31.99","",""
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|PL","Without Sequence","34.76","",""
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|PL","Without Sequence","37.12","",""
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","BZN|PL","Without Sequence","37.10","",""
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","BZN|PL","Without Sequence","47.96","",""
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","BZN|PL","Without Sequence","54.96","",""
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","BZN|PL","Without Sequence","57.19","",""
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","BZN|PL","Without Sequence","57.19","",""
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","BZN|PL","Without Sequence","59.08","",""
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","BZN|PL","Without Sequence","58.84","",""
"11/01/2020 14:00:00 - 11/01/2020 15:00:00","BZN|PL","Without Sequence","57.19","",""
"11/01/2020 15:00:00 - 11/01/2020 16:00:00","BZN|PL","Without Sequence","57.19","",""
"11/01/2020 16:00:00 - 11/01/2020 17:00:00","BZN|PL","Without Sequence","57.19","",""
"11/01/2020 17:00:00 - 11/01/2020 18:00:00","BZN|PL","Without Sequence","58.84","",""
"11/01/2020 18:00:00 - 11/01/2020 19:00:00","BZN|PL","Without Sequence","57.19","",""
"11/01/2020 19:00:00 - 11/01/2020 20:00:00","BZN|PL","Without Sequence","52.38","",""
"11/01/2020 20:00:00 - 11/01/2020 21:00:00","BZN|PL","Without Sequence","47.93","",""
"11/01/2020 21:00:00 - 11/01/2020 22:00:00","BZN|PL","Without Sequence","34.04","",""
"11/01/2020 22:00:00 - 11/01/2020 23:00:00","BZN|PL","Without Sequence","37.02","",""
"11/01/2020 23:00:00 - 12/01/2020 00:00:00","BZN|PL","Without Sequence","33.79","",""
"12/01/2020 00:00:00 - 12/01/2020 01:00:00","BZN|PL","Without Sequence","24.54","",""
"12/01/2020 01:00:00 - 12/01/2020 02:00:00","BZN|PL","Without Sequence","21.43","",""
"12/01/2020 02:00:00 - 12/01/2020 03:00:00","BZN|PL","Without Sequence","21.63","",""
"12/01/2020 03:00:00 - 12/01/2020 04:00:00","BZN|PL","Without Sequence","19.61","",""
"12/01/2020 04:00:00 - 12/01/2020 05:00:00","BZN|PL","Without Sequence","19.78","",""
"12/01/2020 05:00:00 - 12/01/2020 06:00:00","BZN|PL","Without Sequence","20.86","",""
"12/01/2020 06:00:00 - 12/01/2020 07:00:00","BZN|PL","Without Sequence","22.73","",""
"12/01/2020 07:00:00 - 12/01/2020 08:00:00","BZN|PL","Without Sequence","27.09","",""
"12/01/2020 08:00:00 - 12/01/2020 09:00:00","BZN|PL","Without Sequence","29.26","",""
"12/01/2020 09:00:00 - 12/01/2020 10:00:00","BZN|PL","Without Sequence","35.33","",""
